mae_mean,rmse_mean,rsq_mean,territorial_authority,category
5.062686879105038,7.304477514138037,0.11093567420507085,Gisborne District,Residential buildings
2.285801517494698,3.893547400511001,0.11680568134501113,Gisborne District,Retirement village units
0.38384624709627435,0.5008232049103499,0.0811826300271643,Gisborne District,"Shops, restaurants, and bars"
2.3775641542998427,3.049344085871349,0.11812392180008577,Gisborne District,"Social, cultural, and religious buildings"
0.5883785455720499,0.762412384114048,0.07658333107342626,Gisborne District,Storage buildings
2.1595842531002645,2.854260369173447,0.13229791950061465,Gisborne District,"Townhouses, flats, units, and other dwellings"
27.63952744801839,34.65630089432447,0.10632891633266742,Hamilton City,All buildings
27.955597178141275,34.65361235200511,0.13077180577672848,Hamilton City,All construction
7.504374024654842,9.976013080371237,0.08493770251015902,Hamilton City,Apartments
21.804821014404297,27.27468408375368,0.1384274727482017,Hamilton City,"Apartments, townhouses, units, and other dwellings"
1.3196841423710188,1.676059684952581,0.07165352927596387,Hamilton City,Commercial buildings
27.012662145826553,33.722041479172105,0.10146627564006573,Hamilton City,Dwelling units
0.9373908835877147,1.1543885171146437,0.10433228804940665,Hamilton City,Education buildings
1.0408208209607337,1.272504004563151,0.08253506915079925,Hamilton City,Factories and industrial buildings
1.4679275484238234,1.8007136743208958,0.08968764264318964,Hamilton City,"Factories, industrial, and storage buildings"
0.3078685198060056,0.45669106604366877,0.07877170631598654,Hamilton City,Farm buildings
0.6039028108999547,0.7392378799801057,0.10764187535965843,Hamilton City,"Hospitals, nursing homes, and other health buildings"
0.2769962305798092,0.42386402844917875,0.034066443839917124,Hamilton City,"Hostels, boarding houses, and prisons"
0.34765094045267486,0.46061757824360405,0.09730520492865279,Hamilton City,"Hotels, motels, and other short-term accommodation"
0.45335952821317027,0.5505833074338861,0.12874629382124297,Hamilton City,"Hotels, motels, boarding houses, and prisons"
14.212132676442463,16.957235098953685,0.0822480131300103,Hamilton City,Houses
2.397341517607371,2.9707367251533867,0.13055476622071957,Hamilton City,Non-residential buildings
0.7018039609745352,0.8647423426008782,0.10248417865152958,Hamilton City,"Office, administration, and public transport buildings"
27.364056714375813,34.18682807826557,0.10935974103152499,Hamilton City,Residential buildings
9.136408900857592,13.527246005584693,0.13643395556185745,Hamilton City,Retirement village units
1.0136744999223286,1.2463855592387,0.06009944216177208,Hamilton City,"Shops, restaurants, and bars"
0.6152654661667637,0.7577248774071402,0.0797868160638242,Hamilton City,"Social, cultural, and religious buildings"
1.0704067146560798,1.3146611385371603,0.1501809384490364,Hamilton City,Storage buildings
17.440636716948614,21.499109518978663,0.09800937638350063,Hamilton City,"Townhouses, flats, units, and other dwellings"
9.666063165664672,12.008817368370444,0.10300176322695839,Hastings District,All buildings
9.409480259153579,12.056600104277061,0.1127342520881315,Hastings District,All construction
0.03394483527320285,0.07669694325417221,NA,Hastings District,Apartments
6.17220552295912,8.44427091199024,0.11193492279687403,Hastings District,"Apartments, townhouses, units, and other dwellings"
1.113691604703975,1.397916910000841,0.07393300613527638,Hastings District,Commercial buildings
8.633902560340033,11.094370671148232,0.04233909688191518,Hastings District,Dwelling units
0.7550041009801336,0.9107159351155604,0.09354908189354366,Hastings District,Education buildings
1.117912265094411,1.4095706199258504,0.08670168778005198,Hastings District,Factories and industrial buildings
1.76822096887562,2.1693301961095113,0.11448542898918435,Hastings District,"Factories, industrial, and storage buildings"
1.883099112701085,2.2909189413819675,0.1187323568516884,Hastings District,Farm buildings
0.4032525836283134,0.5509658312688893,0.13369419722664772,Hastings District,"Hospitals, nursing homes, and other health buildings"
0.6544424379687471,0.8037903467126446,0.06920077178666255,Hastings District,"Hostels, boarding houses, and prisons"
0.4220614068708124,0.5443358712654263,0.1022398186924195,Hastings District,"Hotels, motels, and other short-term accommodation"
0.772460150009849,0.9299013528297928,0.13870214776081044,Hastings District,"Hotels, motels, boarding houses, and prisons"
5.806993113623725,7.144936060487797,0.13707467575343021,Hastings District,Houses
2.8053164720535277,3.6738638747270573,0.07085551586228125,Hastings District,Non-residential buildings
0.6806479119449957,0.9012380384989135,0.08278284545682453,Hastings District,"Office, administration, and public transport buildings"
8.458362113104926,10.977604959878976,0.0475858485612338,Hastings District,Residential buildings
4.639486427139491,7.253473388737718,0.09657573337833883,Hastings District,Retirement village units
0.7104716827329766,0.9123309568481682,0.0777182681337684,Hastings District,"Shops, restaurants, and bars"
0.5567250027618785,0.6810234396913912,0.10743967352000384,Hastings District,"Social, cultural, and religious buildings"
1.1816448774240498,1.4500394180127874,0.0819782122265369,Hastings District,Storage buildings
3.060247211986118,3.8825468994555736,0.07603446224830523,Hastings District,"Townhouses, flats, units, and other dwellings"
3.9532644112904864,4.877741899974975,0.21465863124524226,Hauraki District,All buildings
4.065459964010451,5.0342075722054656,0.18877519770307152,Hauraki District,All construction
0.020405704278877532,0.05308920207203485,NA,Hauraki District,Apartments
1.25804182803614,1.5178368737939432,0.033721649004887645,Hauraki District,"Apartments, townhouses, units, and other dwellings"
0.42790153141249904,0.6230341623865879,0.11973392479046734,Hauraki District,Commercial buildings
3.4597787658373513,4.122732812256187,0.1728819006263816,Hauraki District,Dwelling units
0.3079135130060119,0.42631067586888205,0.11898828914232643,Hauraki District,Education buildings
0.3933570479852885,0.5374577620625604,0.1252080709611014,Hauraki District,Factories and industrial buildings
0.6151451230540664,0.7529205157192542,0.048286028049476674,Hauraki District,"Factories, industrial, and storage buildings"
1.7378785888353983,2.1570727970015753,0.08810272257779013,Hauraki District,Farm buildings
